intra_inertia,inter_inertia,nmi,runtime_s,n_iter,algorithm,dataset,k,n,seed,n_images_target
1898.1599156813745,425.52391672118944,0.6361140465934498,0.10628799999904004,9,KMeans,coil100_n720,10,700,0,720
1913.937187105703,409.74664529686083,0.6122927176705959,0.0683539000019664,6,KMeans,coil100_n720,10,700,1,720
1907.789732863463,415.8940995391009,0.637201075157651,0.08679699999993318,8,KMeans,coil100_n720,10,700,2,720
1892.439117383331,431.244715019233,0.634662558916897,0.3460032999973919,8,KMeans++,coil100_n720,10,700,0,720
1898.6993630303614,424.9844693722026,0.6510001038129652,0.35482929999852786,5,KMeans++,coil100_n720,10,700,1,720
1876.495339832713,447.1884925698509,0.64627736260227,0.30902740000237827,9,KMeans++,coil100_n720,10,700,2,720
3206.4912518854876,2233.5729037603824,0.5853160028626601,0.14582160000281874,2,PAM,coil100_n720,10,700,0,720
3071.1322832268725,2014.7542373652961,0.5825346968121916,0.3384459999979299,3,PAM,coil100_n720,10,700,1,720
3100.411779465692,1969.7382594577161,0.5917667256468957,0.10936810000202968,2,PAM,coil100_n720,10,700,2,720
3054.175625939995,2066.19397178906,0.5921303745571758,0.18291920000046957,11,KMM,coil100_n720,10,700,0,720
2949.2982195032923,1860.2814482553867,0.5960092611743033,0.15781989999959478,8,KMM,coil100_n720,10,700,1,720
3054.990558341507,1937.199687154063,0.5976318694317027,0.15765539999847533,10,KMM,coil100_n720,10,700,2,720
3092.9138664899074,1997.4577522505267,0.5820253394173843,0.46641689999887603,10,KMM++,coil100_n720,10,700,0,720
3040.776440936828,2019.5768240887132,0.5968398711667326,0.3303032000003441,8,KMM++,coil100_n720,10,700,1,720
3028.129523301926,1901.5037828360782,0.5900543931355977,0.36212719999821275,12,KMM++,coil100_n720,10,700,2,720
3134.552016108682,1295.2437224856988,0.7483735460123193,0.13787299999967217,5,KMeans,coil100_n1440,20,1400,0,1440
3110.7235938594436,1319.0721447349374,0.7221950131046414,0.2572409000022162,12,KMeans,coil100_n1440,20,1400,1,1440
3099.446744848975,1330.3489937454056,0.7489597140477414,0.1217477999998664,7,KMeans,coil100_n1440,20,1400,2,1440
3051.8782676957476,1377.9174708986338,0.7322064265567625,1.3804323000003933,8,KMeans++,coil100_n1440,20,1400,0,1440
3107.4644277911507,1322.3313108032307,0.7523621239625647,1.20128509999995,7,KMeans++,coil100_n1440,20,1400,1,1440
3114.451636491134,1315.344102103247,0.7556233249672532,1.093835499999841,7,KMeans++,coil100_n1440,20,1400,2,1440
5193.576955834401,3937.2063293137808,0.6913098096018784,0.2620167000022775,3,PAM,coil100_n1440,20,1400,0,1440
4818.630612203612,3417.861764641678,0.6638217856850034,0.22972980000122334,3,PAM,coil100_n1440,20,1400,1,1440
4978.103424144639,3712.777360826036,0.6772076669004883,0.36647679999805405,5,PAM,coil100_n1440,20,1400,2,1440
5036.325006797611,3871.3088418969655,0.7020551169877347,0.2890847999988182,7,KMM,coil100_n1440,20,1400,0,1440
4825.623588159366,3413.2821737584127,0.6600865249400617,0.34142959999735467,14,KMM,coil100_n1440,20,1400,1,1440
4808.274983472383,3418.686000181314,0.6774332674869846,0.3365719999965222,9,KMM,coil100_n1440,20,1400,2,1440
4853.8491457911,3459.6148559754233,0.6735143770973644,1.7423049999997602,11,KMM++,coil100_n1440,20,1400,0,1440
4990.045906373462,3675.1577885474867,0.6757666758025117,1.6080764999969688,10,KMM++,coil100_n1440,20,1400,1,1440
4800.86364547051,3456.3060501497457,0.6903374603600534,1.5181713000019954,10,KMM++,coil100_n1440,20,1400,2,1440
