algorithm,n_workers,seed,runtime_s,intra_inertia,n_iter,nmi
Dist-KMeans,3,0,0.017188900004839525,215.83831972044857,1,0.6230860242027787
Dist-KMeans,3,1,0.020465000008698553,215.8585432090634,1,0.6146272533592253
Dist-KMeans,3,2,0.01572219999798108,215.8585432090634,1,0.6146272533592253
Dist-KMeans,3,3,0.013816400009091012,215.83831972044857,1,0.6230860242027787
Dist-KMeans,3,4,0.018977100000483915,215.8585432090634,1,0.6146272533592253
Dist-KMeans,3,5,0.017725500001688488,215.85975318464557,1,0.6318560837181622
Dist-KMeans,3,6,0.0131662000057986,215.83831972044857,1,0.6230860242027787
Dist-KMeans,3,7,0.01631029999407474,215.83831972044857,1,0.6230860242027787
Dist-KMeans,3,8,0.01665790000697598,215.8585432090634,1,0.6146272533592253
Dist-KMeans,3,9,0.01758949999930337,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,3,0,0.031019999994896352,227.06016529164037,1,0.6852161041427292
Dist-KMeans++,3,1,0.024621500007924624,215.8585432090634,1,0.6146272533592253
Dist-KMeans++,3,2,0.02504729999054689,215.83831972044857,1,0.6230860242027787
Dist-KMeans++,3,3,0.027953899989370257,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,3,4,0.025536499990266748,215.8585432090634,1,0.6146272533592253
Dist-KMeans++,3,5,0.021135999995749444,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,3,6,0.02681170000869315,215.83831972044857,1,0.6230860242027787
Dist-KMeans++,3,7,0.02337739999347832,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,3,8,0.021580400003585964,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,3,9,0.018965499999467283,215.85975318464557,1,0.6318560837181622
Dist-PAM,3,0,0.31625000000349246,242.7935575965734,4,0.6409417409525218
Dist-PAM,3,1,0.2697306999907596,242.7935575965734,3,0.6409417409525218
Dist-PAM,3,2,0.2727104999939911,242.7935575965734,3,0.6409417409525218
Dist-PAM,3,3,0.23329349998675752,242.7935575965734,3,0.6409417409525218
Dist-PAM,3,4,0.2958227000053739,242.7935575965734,3,0.6409417409525218
Dist-PAM,3,5,0.2854069999884814,238.60056208633887,3,0.6199154690877006
Dist-PAM,3,6,0.19747490000736434,242.7935575965734,3,0.6409417409525218
Dist-PAM,3,7,0.24340130000200588,242.7935575965734,3,0.6409417409525218
Dist-PAM,3,8,0.27315079999971204,242.7935575965734,3,0.6409417409525218
Dist-PAM,3,9,0.2585440999973798,242.7935575965734,3,0.6409417409525218
Dist-KMM,3,0,0.21233619999838993,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,1,0.17764189999434166,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,2,0.19472550001228228,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,3,0.18149170000106096,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,4,0.18919520000054035,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,5,0.18920999999681953,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,6,0.17706499999621883,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,7,0.167929200004437,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,8,0.20262650000222493,242.7935575965734,4,0.6409417409525218
Dist-KMM,3,9,0.18631659999664407,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,0,0.22121170000173151,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,1,0.20647670001199003,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,2,0.2150592000107281,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,3,0.1966658000019379,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,4,0.18617280000762548,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,5,0.22230629999830853,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,6,0.1923330999998143,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,7,0.2285628999961773,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,8,0.1896130999957677,242.7935575965734,4,0.6409417409525218
Dist-KMM++,3,9,0.1948119000007864,242.7935575965734,4,0.6409417409525218
Dist-KMeans,5,0,0.016393400001106784,215.83831972044857,1,0.6230860242027787
Dist-KMeans,5,1,0.01987150000059046,215.8585432090634,1,0.6146272533592253
Dist-KMeans,5,2,0.015601699997205287,215.8585432090634,1,0.6146272533592253
Dist-KMeans,5,3,0.014423100001295097,215.83831972044857,1,0.6230860242027787
Dist-KMeans,5,4,0.01870230000349693,215.8585432090634,1,0.6146272533592253
Dist-KMeans,5,5,0.01798129999951925,215.85975318464557,1,0.6318560837181622
Dist-KMeans,5,6,0.012713800009805709,215.83831972044857,1,0.6230860242027787
Dist-KMeans,5,7,0.016271400003461167,215.83831972044857,1,0.6230860242027787
Dist-KMeans,5,8,0.015872400006628595,215.8585432090634,1,0.6146272533592253
Dist-KMeans,5,9,0.01720509999722708,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,5,0,0.04061409999849275,227.06016529164037,1,0.6852161041427292
Dist-KMeans++,5,1,0.04347279999637976,215.8585432090634,1,0.6146272533592253
Dist-KMeans++,5,2,0.03925649999291636,215.83831972044857,1,0.6230860242027787
Dist-KMeans++,5,3,0.04663250000157859,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,5,4,0.04242330000852235,215.8585432090634,1,0.6146272533592253
Dist-KMeans++,5,5,0.03575880000425968,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,5,6,0.04528520000167191,215.83831972044857,1,0.6230860242027787
Dist-KMeans++,5,7,0.04067770000256132,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,5,8,0.03860829999030102,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,5,9,0.03301840000494849,215.85975318464557,1,0.6318560837181622
Dist-PAM,5,0,0.5072667999920668,242.7935575965734,4,0.6409417409525218
Dist-PAM,5,1,0.22946600000432227,242.7935575965734,3,0.6409417409525218
Dist-PAM,5,2,0.18865970001206733,242.7935575965734,3,0.6409417409525218
Dist-PAM,5,3,0.182346100002178,242.7935575965734,3,0.6409417409525218
Dist-PAM,5,4,0.24695719999726862,242.7935575965734,3,0.6409417409525218
Dist-PAM,5,5,0.2896020000043791,238.60056208633887,3,0.6199154690877006
Dist-PAM,5,6,0.2100425999960862,242.7935575965734,3,0.6409417409525218
Dist-PAM,5,7,0.253227599998354,242.7935575965734,3,0.6409417409525218
Dist-PAM,5,8,0.2419194999965839,242.7935575965734,3,0.6409417409525218
Dist-PAM,5,9,0.22963959998742212,242.7935575965734,3,0.6409417409525218
Dist-KMM,5,0,0.19273880000400823,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,1,0.1824168000021018,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,2,0.20434139999269973,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,3,0.1708470000012312,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,4,0.21403709999867715,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,5,0.20890460000373423,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,6,0.17526500001258682,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,7,0.20727150001039263,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,8,0.19054750000941567,242.7935575965734,4,0.6409417409525218
Dist-KMM,5,9,0.20744009999907576,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,0,0.22648919999483041,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,1,0.22029270000348333,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,2,0.21782090001215693,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,3,0.1904584000003524,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,4,0.22180959999968763,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,5,0.17061939999985043,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,6,0.19107719999738038,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,7,0.18368780000309926,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,8,0.19141729999682866,242.7935575965734,4,0.6409417409525218
Dist-KMM++,5,9,0.20781990000978112,242.7935575965734,4,0.6409417409525218
Dist-KMeans,8,0,0.019982799989520572,215.83831972044857,1,0.6230860242027787
Dist-KMeans,8,1,0.022124399998574518,215.8585432090634,1,0.6146272533592253
Dist-KMeans,8,2,0.016567500002565794,215.8585432090634,1,0.6146272533592253
Dist-KMeans,8,3,0.013761399997747503,215.83831972044857,1,0.6230860242027787
Dist-KMeans,8,4,0.018050500002573244,215.8585432090634,1,0.6146272533592253
Dist-KMeans,8,5,0.017230199999175966,215.85975318464557,1,0.6318560837181622
Dist-KMeans,8,6,0.011886499996762723,215.83831972044857,1,0.6230860242027787
Dist-KMeans,8,7,0.015863900000113063,215.83831972044857,1,0.6230860242027787
Dist-KMeans,8,8,0.015505399991525337,215.8585432090634,1,0.6146272533592253
Dist-KMeans,8,9,0.027201499993680045,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,8,0,0.05783579999115318,227.06016529164037,1,0.6852161041427292
Dist-KMeans++,8,1,0.05483069999900181,215.8585432090634,1,0.6146272533592253
Dist-KMeans++,8,2,0.046694300006492995,215.83831972044857,1,0.6230860242027787
Dist-KMeans++,8,3,0.05419310000434052,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,8,4,0.048577299996395595,215.8585432090634,1,0.6146272533592253
Dist-KMeans++,8,5,0.04114169999957085,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,8,6,0.05280289999791421,215.83831972044857,1,0.6230860242027787
Dist-KMeans++,8,7,0.06113099999492988,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,8,8,0.0534168000012869,215.85975318464557,1,0.6318560837181622
Dist-KMeans++,8,9,0.04531630000565201,215.85975318464557,1,0.6318560837181622
Dist-PAM,8,0,0.28372659999877214,242.7935575965734,4,0.6409417409525218
Dist-PAM,8,1,0.23719210000126623,242.7935575965734,3,0.6409417409525218
Dist-PAM,8,2,0.23960980000265408,242.7935575965734,3,0.6409417409525218
Dist-PAM,8,3,0.21733210000093095,242.7935575965734,3,0.6409417409525218
Dist-PAM,8,4,0.2554779000056442,242.7935575965734,3,0.6409417409525218
Dist-PAM,8,5,0.2894556000101147,238.60056208633887,3,0.6199154690877006
Dist-PAM,8,6,0.20197660000121687,242.7935575965734,3,0.6409417409525218
Dist-PAM,8,7,0.2757636000023922,242.7935575965734,3,0.6409417409525218
Dist-PAM,8,8,0.266668899988872,242.7935575965734,3,0.6409417409525218
Dist-PAM,8,9,0.23912750001181848,242.7935575965734,3,0.6409417409525218
Dist-KMM,8,0,0.21110610000323504,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,1,0.17966559999331366,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,2,0.2158021000068402,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,3,0.18397369999729563,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,4,0.2213731999945594,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,5,0.20835539999825414,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,6,0.21564749999379274,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,7,0.17555230000289157,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,8,0.17224569999962114,242.7935575965734,4,0.6409417409525218
Dist-KMM,8,9,0.18063999999139924,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,0,0.20796680000785273,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,1,0.20803520000481512,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,2,0.2090538999909768,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,3,0.19405379999079742,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,4,0.2091750000108732,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,5,0.20617990000755526,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,6,0.22161860000051092,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,7,0.22976139999809675,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,8,0.18020630000683013,242.7935575965734,4,0.6409417409525218
Dist-KMM++,8,9,0.16857850000087637,242.7935575965734,4,0.6409417409525218
